timestamp,words,tags
Letter 1,P.O. Box 23,
,"Headingly, Man.",
,July 5 /42,
,"Dear Joan,",
,"Well here I am, back in B.C. to talk with you (I hope I was.).",Homesickness
,"Thanks for your kind and most welcome letter, I received it on the 2nd.",Communications
,I intended on writing sooner but since we’re kinda late in thinning the bees I just couldn’t find time to write. This is one letter I had enough ambition to walk four miles to get it.,Writing
,I couldn’t walk or ride a bike on this sticky road so I took the C.P.R which runs right through Headingly.,Living-conditions
, I was sure glad you understood my letter and besides I was wondering if you still remember me because it was a long time since we seen each other.,
,"Gosh I hate to be outside now, the mosquitos are buzzing outside like the bee buzzing around its hive. Ooo that one bit me in the forehead. I’ll get revenge with him yet. Oh. That reminds me, have you ever seen a",Living-conditions
,"“firefly,” If you like I'll send you one. If I could grab hold of one. Oh boy, they sure give off light for the size of itself.",Living-conditions
,"“Roses,” there are millions of it here. Joan its a swell time to come and see me now. The roses are in full bloom, the oaks, ash, poplar, ect. [sic] are just loaded with bright green leaves. ",Living-conditions; Joan
,When we first came ot the prairie everything just didn’t look right.,Homesockness
,"This here country right now isn’t too bad at all specially if your [sic] here Gosh if I had enough money now I’ll pay your fair [sic] in. There are hundreds of horse-back riders here. Gosh I sure like that, do you?",Joan; Living-conditions
,"About 10 days ago we were moved from Headingly to a place called West Winnipeg, which is about 5 miles south of where we use to live. This is between two tracks the C.P.R + G. N.R. It’s a good thing we have trees around our house because we have lots of strong wind here.",Living-conditions
,"Talking about sunburn Gosh you ought to see me, I’m darker than a n----- seen in a dark, since I started on the [beet?].",Living-conditions
,Gosh I hope the sun don’t burn you up too much. What I think would be good when your [sic] picking strawberries are those wide brim hat [sic].,
,"Sure, I’ll tell Yoshiyaki that. I like to see and talk to him now but we’re both busy. I have written one to him just the day I sent you one I think, but he never wrote to me since. I know his dad’s in a pretty bad health now.",
,Sure I’ll write to you as long as we’re apart.,Writing
,"I know you were a swell letter-writer, I heard you were one of the best in QEHS. Before I forget Joan, I like to a picture of yourself so I won’t get so lonesome here.",Joan
,Well it’s getting on to 12 so I guess I’ll sign off here. Hoping to hear from you soon. Bye.,
,I remain,
,Yours sincerely,
,Tad.,
,P.S. Please give me best regards to Kirky (Booo),Homesickness
Letter 2,P.O. Box 23,
,Headingly Man.,
,"Aug. 3, /42",
,Dear Joan--,
,"Many thanks for your most welcome letter. I received it with greatest pleasure on the 24th. Every letter we’re getting now is cencored [sic] and just to send a letter 30 miles it takes over a week, because every letter we write goes back to B.C. to be cencored [sic].",Communications
,Thanks for the compliment of my letter I didn’t know I write such a letter myself Gee but I sure adore your heavenly letter,Joan; Writing
,To-day we have just finished our thinning and at last I’ve found time to scribble few lines,Labour-conditions; Writing
,We have had one terrible weather for a spell One afternoon the thermometre [sic] climbed over 100° then that evening we had a painfull rain and wind storm. But now the weather have seemed to have settled down.,Living-conditions
,The strawberries and cherries are very scarce out here. The price we pay for a lb. of cherry here is 25 cents. I wonder how the farms are like now. I heard the government have,Living-conditions;Homesickness
,sent [mind-nites?] over to take our place on the farm.,Labour-conditions
,"The government is now planning on sending more Japanese from the coast for the harvest here. Even the farmers now are getting called up, they are taking mens to about 37.",Labour-conditions
," To tell you the truth, the most I’ve earned in a single day was $10.00 for hoing 3 1/3 acres. There are five of us looking after 60 acres.",Labour-conditions
,Boy I bet you raked up fat dough in picking strawberries I heard it was 40 cents a crate for picking and 40 cents for loose packing.,Joan
,The mosquitoes are quite bad yet - especially just before and after rain.,Living-conditions
,"It must have been a fair size mosquitoes to bite right-throw [through] your underthing. Yes it does get you sore when it gets that fore, doesn’t it.",Joan
,Oh yes we got a privilege to own a radio and a camera here. We had both radio and two cameras there but we had to leave it in the hands of the R.C.M.P. I believe the custodian is now looking after it. That radio wouldn’t be in any use here I don’t think because the dials are different here,Photographs; Living-conditions
,We have sent for our camera about two weeks ago but it still hasn’t arrived There both swell cameras too. One takes a card size picture and the other takes 1 1/4 x 1 3/4 picture They both had a nice leather case to it. We have bought one lately to take souvenir pictures and we have already taken 5 rolls of it. This is a bullet type camera that takes a picture size approx 1 3/4x 2 1/2. Soon as we get these rolls developed and if it turns out O.K. I’ll send it.,
