timestamp,words,tags
1,Hi Joan!,
,Having swell trip. Lots of people but not crowded. “Not alone but lonesome”. Trains awful jerky.,
,I will write later. Beautiful scenery.,
,Sure miss the old gang.,Homesickness
,Al Ohama,
2, "July 4, 1942",
,"Ranier, Atla.",
,Dear Joan:,
,Hello there! I just received your letter last mail-day. Gee it was swell to hear from you. Thanks a million for writing.,
,"Gosh, I’ve been a terrible pal. You’ve got all the right in the world to be angry with me, Joan. I love being busy -- but not so busy that I should neglect writing to you. Gee, Joan, I’m awful sorry, I guess I was never cut-out to write letters. But from now on you can be sure you’ll hear from me often--",Writing;Joan
,"maybe too often. I hope you don’t think I’ve forgotten you. Do you? I was swell of youto write -- and -- gosh',' I just feel awful about it. Anyway we’re writing to each other now-- and thats what counts. Isn’t it? I still feel terrible and I guess I always will--unless you Say you’ll forgive me. Please!",Writing;Joan
,"Well to change the subject to something much more important, how are you, Joay[sp?]? How are your Mom and Dad? And little Donnie? I just know everythings all right. How are all your friends?",Joan
,"I hope I’m still one of them. Let’s talk about you, Joan, shall we? Say, did you know you are a beautiful little flatterer? You had me “redder than a beet.” Really! But really Joan, you’re so understanding and everythin’, I think your [sic] swell. Honestly!! And, gosh, where did you learn to write so well. Honestly, when I read your letter, I think I’m sittin’ right next to you.",Joan
,"Are you enjoying your holiday? Wasn’t that last minute of[?] school, a grand and glorious Feelin’? I can just picture you, Joan, slamming your",Homesickness;Education
,"books in your suitcase and probably giving a shout of joy. I bet you made faces at the teachers you disliked. Say for instance,",Homesickness;Education
,"“Jackie Hockin[sp?].” Gosh, Joan, I hope and pray you didn’t have her next time. She’s just like you said, “Stupid,” and gosh I mean stupid. She’s the most ignorant person I know. I ought to know. She taught me for a couple of years and look what she done to me. Ha ha. Honestly though, I think she’s not fit to teach. But then, who am I to judge?",Education
,"I am sorry to hear Mr. ???? is leaving you. He was swell to us. I haven’t much To say for Mr. Sanford. You won’t lose much by his going -- but Keatley! Ye gad! What a prize-sop[???]! Phooey on him!",Education
