timestamp,words,tags,Column
Letter 1,c/o George C Card,,
,"Magrath, Alta.",,
,"Saturday, April 25, 1942",,
,Dear Joan;,,
,"On Wednesday we reached our new home after 2 1/2 days 2 nights. We left New Westminster around 9 Mon. All the time along to Kamloops we had our heads poked out of the window looking at the scenery but [once?] there it was night. During the night we stopped at Salmon Arm, Revelstoke. The next morning April 21 Harding [???] and I were up from 3 am walking up and down the train and watching the scenery throw [sic] the pass. There it was so cold that the Kicking Horse River had ice around the banks and streams were frozen. In daylight we reached Frields where we put our time ahead one hour. Later we reached Banff. Along the way between Fields and Banff we saw many elks and a moose. Near noon we reached Calgary where we spent the rest of the afternoon till about 7.",Forced-dispersal,
,There we saw the show “Babes on Broadway” and we walked about the town. About 11:00 PM we reached Lethbridge and spend the whole night there. From about 4 AM I roamed around the station the town. About 5 AM Yoshio and I and some girls at breakfast at [Lethbridge]. We started again for Raymond at 8:20AM. We reached Raymond at 11:30.,Forced-dispersal; recreation,
,"Afternoon we took our own baggage off the freight and load [sic] it on trucks to our new home which is 18 miles out of Raymond. Our home is about 2 1/2 mi apart from Yoshio’s home but bout 20 miles apart from most of our friends. I find it quite different over here for it is colder, windy, no trees and the place is so rolly and places level. On Thursday",Forced-dispersal; Living-conditions,
,April 23 when I awoke I found out that it had snowed about 2 inches. Today the wind is so cold that your hands and face turns red and purple from the cold.,Living-conditions,
,I bet Surrey is so warm that you could go out with no sweaters and I bet you sweat while we freeze.,Homesickness,
,We are all healthy and happy and I wish you are too. I wish you would write for I would like to know how you are getting along and know your and my school pals are getting along.,Communications,
,This is all I got to say so I wish you will write for me to read at lonely nights.,Communications; Homesickness,
,Your School Pal,,
,Jackie Takahashi,,
Letter 2,c/o George C. Card.,,
,"Magrath, Alta.,",,
,"Sunday, May 10, 1942",,
,2:00 P.M.,,
,Dear Joan;,,
,I received your letter on the fifth day of May but I didn't get it until the next day for I was out working somewhere else for a couple of days. We have been here 18 days. On the 8 and 9th my brother and I started planting the garden. Boy! What a place to make a garden. Clumps of hard dried dirt all over and the ground hard as stone. We had to plant the garden for there isn't no body else to do it.,Labour-conditions,
,"Last night it rained and thundered and lightning flashed so bright that things could be seen plainly. This morning it was still raining. Boy! You should come down here and walk around. Mud about 2 inches. Go out side and you get mud all over your shoe. All we can do is sit in our little wee shack which is only about 10’ by 20’. No radio no nothing in fact no room to move. Yesterday it was so darn windy that your had, paper, cans, pails, and every thing was blown around. The wind made a terrible noise around the corner of the house. Gosh! I'm getting sick and tired of this country. Gee wiz the wind is starting to blow again. Anyways maybe it will dry the ground so a person could walk around with out getting a new sole on your shoe. Friday night about 11 o’clock the irrigation water came down the ditch which is along the side of the road right near our house. The water comes from a mountain in the United States. I haven’t told you about the surrounding yet. Well towards the north the land is quite level without large trees like B.C. Towards the east and south there is a high hill which is about 600ft higher then [sic] where we are. On the",Living-conditions,
,"side of the hill strips of green and brown can be see. From near our home if we look westwards we can see part of the Rocky. From Yoshio’s place which is SW of our place and much higher we can see part of the sugar factory at Raymond which is about 18 miles away. From there we can see about 4 train stations. We can tell if there is a station for we can see grain elevators.About a mile east of our place there is a low steep banked river or a creek running. This is a nice place, clean water down below and small trees and green crass.",Living-conditions,
,One thing I miss is the big trees. Out here you bay 50 cents for a spruce tree about 2 ft tall.,Homesickness; Living-conditions,
,There isn't nothing to do at all around here but go see your friends or catch goffers [sic] or try to. Riding a bike isn't much fun when the wind is blowing against you. I don't mind the rain but darn the wind and rain.,Living-conditions; recreation,
,But soon I guess I will be saying gosh it’s hot I wish the wind will blow. The darn wind blows dust around the place and into your eyes. When the sun shines it gets too darn hot and dry.,,
,In another two weeks time we will be working on our good old sugar beets for some are out all ready [sic]. Boy! Oh Boy! You can think of us bent over sweating and thinning the beats. Gosh!,Beet-farms,
,I feel going to school but they told us not to consider school till September.,Education,
,And about your hope. The letter you wrote came to me with black letters reading “examined by censor.”,Communications,
,Gosh I will miss the cherry and other fruits and even the flowers. Anyhow I remember seeing a tulip before I came here.,Homesickness,
,I am fine and I wish you are too. Well Good-bye till I write again.,,
,Yours,,
,Jack Takahashi,,
,P.S. Where you get the idea that I write interesting letters,,
Letter 3,"Magrath Alberta,",,
,"June 10, 1942",,
,Dear Joan;,,
,You aren't mad at me for not answering your letter right away are you? I was sort of lazy to write right away and I just about forgot to answer your letter. I just finished super and I remembered I still had to answer your letter.,Writing,
,"Boy it felt good to come in the house after being working in the sugar beets when the wind was blowing like the heck. It sure was windy. It made tear [sic] come out of my eye and water out of my nose. We started beet thinning last Tuesday, June 2nd. We worked about 1/2 day on the 2nd, 1/2 day on the 3rd. The other half day it rained. That Wednesday it changed from sunshine to rain while we ate our dinner. For the rest of the week we stay at home. Sunday night we had a thunder storm.",Beet-farms; Labour-conditions,
,Around Raymond they had hail and rain but we were lucky for we were on the outskirts of the rain and it only sprinkled around here.,Living-conditions,
,Monday we started work again and have worked every day till today so far. We finished over 6 acres that is thinning the beets.,Beet-farms; Labour-conditions,
,Thinning isn’t so hard as I thought. All we have to do is to cut out the beets with a how so to leave a beet a hoe length apart. You are supposed to leave only one beet and not two at once place for it won't grow as big. The sugar beet plant is all the same as a ordinary red beet but the leaves aren't red but are green. It look more like a spinach plant than a beet. The only thing wrong is that the weeds cover the garden for it rained so darn much.,Beet-farms; Labour-conditions,
,I got tired last night so I put away the half written letter for I knew I couldn’t mail it till to-day June 11 when our boss comes here to his farm from town.,"Communications; ""[insert proper term
for landowner/supervisor/'boss']""",
,This morning my eyes,,
,"opened around 6 o’clock but I heard the sound of the wind and the rain and slept soundly till about quarter past eleven. I waited for dinner and then here I am writing again. Gosh rain again. That mean [sic] no work for a couple of days, more grass, more mud, can't go outside without getting muddy. When it rains it’s as same as being stranded on an island for you can't go outside. We hauled some travel along our house so it won't be as muddy as before that’s one thing. I’d for rather [sic] work or be outside than stay inside out from the rain. This month we had only about 2 days with sunshine. When the sunshines [sic] and when the wind isn't blowing it sure is hot. Sweat just pours down my face last Tuesday. Yesterday we had sunshine most of the day but the wind was blowing like the heck.",Living-conditions,
,I heard from Yosh that the Blue House had won the Inter House [???]. That sure is something I never thought the Blue House would win even though I was in it. Well I was in the winning house for the track twice. So was Yosh,Homesickness; Education,
